year,trait,scope,estimable,genotype,blue,standard_error,status
2023,dtf,year,TRUE,Fm104,180.00000000032648,3.051544953572987,Estimable
2023,dtf,year,TRUE,Fm112,153.66666666666887,3.0515449535707204,Estimable
2023,dtf,year,TRUE,Fm113,149.33333333333542,3.0515449535707204,Estimable
2023,dtf,year,TRUE,Fm119,162.00000000000202,3.0515449535707204,Estimable
2023,dtf,year,TRUE,Fm12,149.66666666666868,3.0515449535707204,Estimable
2023,dtf,year,TRUE,Fm131,187.00000000000202,3.0515449535707204,Estimable
2023,dtf,year,TRUE,Fm132,131.00000000000202,3.0515449535707204,Estimable
2023,dtf,year,TRUE,Fm134,103.33333333333526,3.0515449535707204,Estimable
2023,dtf,year,TRUE,Fm135,168.66666666666856,3.0515449535707204,Estimable
2023,dtf,year,TRUE,Fm136,155.00000000000196,3.0515449535707204,Estimable
2023,dtf,year,TRUE,Fm138,154.33333333333528,3.0515449535707204,Estimable
2023,dtf,year,TRUE,Fm139,148.00000000000193,3.05154495357072,Estimable
2023,dtf,year,TRUE,Fm141,149.00000000000193,3.05154495357072,Estimable
2023,dtf,year,TRUE,Fm145,136.66666666666856,3.0515449535707195,Estimable
2023,dtf,year,TRUE,Fm146,137.33333333333522,3.0515449535707195,Estimable
2023,dtf,year,TRUE,Fm150,160.3333333333352,3.0515449535707195,Estimable
2023,dtf,year,TRUE,Fm170,144.0000000000019,3.0515449535707195,Estimable
2023,dtf,year,TRUE,Fm172,152.66666666666856,3.0515449535707195,Estimable
2023,dtf,year,TRUE,Fm173,138.00000000000182,3.0515449535707195,Estimable
2023,dtf,year,TRUE,Fm174,137.6666666666685,3.0515449535707195,Estimable
2023,dtf,year,TRUE,Fm175,143.6666666666685,3.0515449535707195,Estimable
2023,dtf,year,TRUE,Fm176,135.6666666666685,3.0515449535707195,Estimable
2023,dtf,year,TRUE,Fm177,149.6666666666685,3.0515449535707195,Estimable
2023,dtf,year,TRUE,Fm180,139.33333333333516,3.0515449535707195,Estimable
2023,dtf,year,TRUE,Fm181,79.33333333333509,3.0515449535707195,Estimable
