genotype,dtf,height_cm,plants_m2,thousand_seed_weight_g,protein_pct,fat_pct,panicle_length_cm,pedicel_length_cm
Fm104,180.00000000032648,88.66666666652979,44.0000000000968,,,,,
Fm112,153.66666666666887,113.66666666666256,80.00000000000676,,,,11.999999999993959,1.3666666666650387
Fm113,149.33333333333542,115.66666666666195,80.00000000000676,,,,10.83333333333328,3.833333333333295
Fm119,162.00000000000202,118.33333333332838,120.00000000000955,,,,,
Fm12,149.66666666666868,124.6666666666616,76.00000000001104,,,,,
Fm131,187.00000000000202,107.33333333332799,70.00000000001103,,,,,
Fm132,131.00000000000202,130.9999999999947,60.00000000001083,,,,10.666666666666618,4.599999999999933
Fm134,103.33333333333526,118.66666666666127,36.00000000001054,,,,8.499999999999948,6.6666666666665835
Fm135,168.66666666666856,99.66666666666124,68.00000000001003,,,,9.333333333333286,0.4999999999998985
Fm136,155.00000000000196,112.33333333332797,96.00000000000999,,,,10.333333333333288,0.6333333333332488
Fm138,154.33333333333528,121.66666666666134,60.000000000010246,,,,10.333333333333288,1.6666666666665937
Fm139,148.00000000000193,122.99999999999466,44.0000000000101,,,,12.499999999999957,2.833333333333263
Fm141,149.00000000000193,116.66666666666129,80.00000000000988,,,,9.83333333333329,0.2999999999999302
Fm145,136.66666666666856,116.99999999999466,48.00000000000999,,,,,
Fm146,137.33333333333522,117.333333333328,48.00000000000981,,18.17639541624082,,10.999999999999957,0.9999999999999369
Fm150,160.3333333333352,97.6666666666613,80.00000000000966,,,,11.333333333333291,1.8999999999999406
Fm170,144.0000000000019,121.66666666666147,60.000000000009976,1.386310816511992,,,12.33333333333329,3.3333333333332744
Fm172,152.66666666666856,110.66666666666144,76.00000000000992,,,,,
Fm173,138.00000000000182,117.99999999999477,56.000000000009955,1.8988351431391899,,,11.499999999999956,0.5333333333332725
Fm174,137.6666666666685,99.33333333332807,44.00000000000987,1.927922531942215,16.53775278727197,,10.999999999999956,1.499999999999943
Fm175,143.6666666666685,114.99999999999478,88.00000000000973,,,,9.499999999999956,0.6999999999999434
Fm176,135.6666666666685,96.66666666666143,56.000000000009834,1.9634274253507427,,,11.999999999999957,6.499999999999945
Fm177,149.6666666666685,124.99999999999481,36.000000000009756,,,,12.333333333333291,0.9333333333332732
Fm180,139.33333333333516,96.33333333332811,60.00000000000963,,,,10.166666666666622,7.166666666666607
Fm181,79.33333333333509,111.33333333332816,52.000000000009614,1.982475644146423,15.230532964070473,4.53851500576483,15.333333333333291,13.166666666666604
Fm184,159.0000000000018,116.6666666666615,64.00000000000954,,,,14.333333333333291,3.3333333333332553
Fm185,134.33333333333513,127.66666666666147,88.0000000000095,1.1699225649046945,,,10.999999999999956,6.166666666666589
Fm190,102.3333333333351,110.33333333332811,36.000000000009585,2.9103782831185927,14.797174135843763,4.8209013932803675,20.999999999999954,5.666666666666585
Fm191,106.3333333333351,103.33333333332811,16.000000000009454,,,,,
Fm193,99.33333333333506,112.3333333333281,68.00000000000931,1.9452471093365007,14.990382512410335,3.85975065701323,14.166666666666623,7.499999999999915
Fm194,116.6666666666684,120.66666666666146,72.00000000000931,2.8629614892180513,15.817959785461284,3.0971033900192073,9.666666666666618,1.9999999999999112
Fm195,103.66666666666839,133.66666666666146,64.00000000000931,2.315622042278596,18.263930638631038,4.4622564876803485,17.999999999999954,20.99999999999992
Fm203,85.00000000000169,113.66666666666141,76.00000000000931,1.9809544534423833,,,15.33333333333329,5.499999999999897
Fm205,129.00000000000173,119.33333333332807,56.00000000000934,,,,,
Fm206,139.6666666666684,104.99999999999474,32.00000000000928,,,,,
Fm207,138.33333333333502,120.99999999999476,54.0000000000092,,,,16.333333333333286,1.4999999999998945
Fm208,142.66666666666836,110.33333333332807,32.000000000009145,1.2879763695742796,15.803777694702,,19.833333333333286,2.4999999999998974
Fm214,89.66666666666832,122.99999999999476,40.00000000000906,2.1872839572625495,11.890495936075698,3.161138957554071,12.166666666666618,4.9999999999999
Fm215,79.00000000000162,137.33333333332806,88.000000000009,2.379324553511288,14.04442755381252,4.1193188764910085,19.166666666666615,8.333333333333233
Fm216,107.00000000000166,101.9999999999947,20.000000000009074,3.6273016103379723,13.239104906717797,4.433837086725437,17.666666666666615,4.499999999999895
Fm219,87.00000000000166,123.66666666666138,56.00000000000895,2.1907475794821356,14.112579345702988,4.137578057566085,14.833333333333284,9.833333333333222
Fm220,129.66666666666833,106.33333333332806,68.00000000000892,,,,11.33333333333328,4.833333333333225
Fm221,96.33333333333498,130.9999999999947,54.000000000008946,1.698471954264878,13.82633209228502,2.857463553710318,11.666666666666616,7.333333333333224
Fm225,80.0000000000016,112.33333333332803,68.00000000000892,2.0382310498255296,17.17212804158515,,15.666666666666616,10.833333333333218
Fm227,105.6666666666683,133.99999999999469,48.000000000008946,2.310183902555528,,,14.333333333333284,8.999999999999883
Fm228,98.33333333333496,106.333333333328,72.0000000000089,2.6807631391683864,,,8.333333333333279,6.333333333333215
Fm232,113.66666666666829,116.66666666666136,68.00000000000892,2.569156936776693,,,10.666666666666615,5.166666666666547
Fm233,116.33333333333492,109.66666666666134,52.000000000008946,1.9258209610099988,13.883421579996606,3.549096177711451,13.666666666666618,3.3333333333332127
Fm234,140.00000000000162,106.99999999999469,64.0000000000089,,,,11.499999999999947,1.233333333333214
Fm235,130.00000000000165,134.66666666666137,54.00000000000892,2.485334946556692,15.285380363464219,,13.333333333333282,2.5666666666665487
Fm236,94.33333333333493,119.66666666666136,36.000000000008896,1.8180308449498641,17.107952117919787,2.632942705262981,13.666666666666616,9.666666666666547
Fm238,117.0000000000016,139.99999999999469,64.00000000000884,1.9793782857587199,18.81120681762681,3.3593929434528738,11.83333333333328,0.43333333333321444
Fm245,139.6666666666683,115.66666666666131,48.000000000008846,1.7641546800172472,,,16.833333333333282,3.4999999999998828
Fm246,138.33333333333493,109.6666666666613,72.00000000000882,,,,18.99999999999995,2.3333333333332167
Fm249,127.0000000000016,120.99999999999466,64.00000000000884,1.7049638506315008,,,18.333333333333282,8.999999999999885
Fm250,134.66666666666825,134.66666666666134,36.00000000000884,1.6836016439318824,16.511450767516955,3.912800196008704,17.99999999999995,4.833333333333216
Fm251,146.33333333333493,108.6666666666613,84.0000000000088,,,,11.499999999999945,1.3333333333332154
Fm255,83.00000000000152,121.33333333332797,72.00000000000882,2.9308708365753566,16.223560969034693,4.363422795507927,11.33333333333328,8.833333333333218
Fm28,144.33333333333493,117.33333333332794,36.000000000008846,,,,10.666666666666613,3.333333333333215
Fm3,140.00000000000162,118.99999999999463,60.0000000000088,2.137419559051875,,,9.499999999999947,2.1666666666665484
Fm30,140.66666666666828,113.33333333332793,84.00000000000881,,,,12.499999999999948,4.9999999999998845
Fm31,145.33333333333493,111.66666666666129,80.00000000000884,,,,10.499999999999945,0.9999999999998841
Fm321,89.66666666666826,120.6666666666613,76.00000000000887,1.5592898550724632,19.4883594512938,,10.999999999999947,8.166666666666552
