genotype,dtf__N40,dtf__N120,height_cm__N40,height_cm__N120,plants_m2__N40,plants_m2__N120,number_of_tillers__N40,number_of_tillers__N120,days_to_harvest__N40,days_to_harvest__N120,normalized_difference_vegetation_index__N40,normalized_difference_vegetation_index__N120,fluorescence__N40,fluorescence__N120,protein_pct__N40,protein_pct__N120
Fm134,113.33333333316922,107.33333333327548,49.33333333335647,46.6666666666036,7.333333333344694,6.983634201688466,22.333333333369733,26.66666666669645,177.00000000012437,170.99999999985684,0.6666666666664511,0.6333333333326461,0.4433333333326354,0.46000000000057356,,
Fm170,135.66666666666472,137.99999999999997,110.33333333333326,107.66666666666538,18.000000000000007,26.18719791676853,2.000000000000002,2.666666666666784,173.00000000000023,184.33333333333127,0.566666666666664,0.5833333333333193,0.5866666666666469,0.5866666666666791,,
Fm173,126.3333333333312,131.99999999999994,106.66666666666663,102.9999999999986,45.33333333333332,44.983634201684886,10.00000000000001,8.33333333333344,184.46482558619394,188.33333333333104,0.686666666666664,0.706666666666653,0.6699999999999804,0.6633333333333458,,
Fm174,138.99999999999787,139.33333333333326,92.99999999999994,90.66666666666518,24.000000000000007,24.187197916768532,5.666666666666671,7.666666666666775,180.43435751957355,180.9999999999976,0.7399999999999977,0.7299999999999859,0.6833333333333131,0.6666666666666794,,
Fm176,127.33333333333113,128.6666666666666,98.66666666666663,90.66666666666517,19.33333333333334,18.983634201684882,3.6666666666666687,4.333333333333438,187.33333333333357,186.66666666666427,0.5033333333333306,0.49999999999998557,0.3666666666666455,0.4300000000000129,,
Fm181,79.66666666666448,82.33333333333324,100.99999999999994,90.9999999999985,79.99999999999996,68.98363420168494,4.000000000000003,3.3333333333334325,126.33333333333356,127.99999999999761,0.6766666666666641,0.5833333333333194,0.686666666666647,0.6500000000000125,14.909999836657084,14.330000000011143
Fm185,121.66666666666461,119.99999999999993,106.33333333333327,105.9999999999985,67.98990727958811,50.98363420168491,0.6666666666666697,1.0000000000000915,182.66666666666688,183.99999999999787,0.4666666666666642,0.3799999999999859,0.4499999999999794,0.37666666666667936,,
Fm190,98.66666666666458,96.33333333333326,109.33333333333327,109.99999999999848,49.99999999999999,58.98363420168491,1.0000000000000038,1.333333333333419,150.33333333333357,147.6666666666645,0.6699999999999975,0.6466666666666532,0.6633333333333136,0.7600000000000123,14.534999836661937,14.9633333333334
Fm193,96.33333333333131,97.33333333333326,92.33333333333329,98.66666666666511,65.33333333333331,88.68719791676854,1.3333333333333373,1.000000000000079,147.66666666666688,146.99999999999793,0.5999999999999974,0.5966666666666532,0.6233333333333133,0.6300000000000127,15.513333333333332,15.443333333333403
Fm194,97.33333333333135,98.99999999999994,88.99999999999996,82.99999999999842,13.333333333333345,23.508182899157603,2.0000000000000027,1.3333333333334094,152.66666666666686,159.33333333333135,0.6533333333333309,0.5466666666666531,0.6099999999999799,0.6366666666666794,15.319999836661937,14.186666666666737
Fm195,106.33333333333138,106.33333333333329,128.33333333333326,131.6666666666651,65.3333333333333,52.983634201684914,1.0535199183287913e-16,7.354927561816467e-14,156.0000000000002,158.3333333333314,0.6566666666666641,0.63333333333332,0.7033333333333132,0.7133333333333461,17.21999983666194,19.19000000000007
Fm203,85.3333333333314,85.99999999999993,100.33333333333329,104.9999999999984,36,32.18719791676853,5.000000000000002,5.000000000000065,131.33333333333357,131.9999999999981,0.6399999999999975,0.6499999999999866,0.6033333333333128,0.7600000000000128,12.764999836661943,12.96000000000007
Fm208,122.66666666666477,136.66666666666666,105.99999999999994,95.33333333333172,10.66666666666667,14.666666666666861,0.3333333333333338,0.6666666666667315,183.66666666666688,180.99999999999818,0.6166666666666641,0.6166666666666532,0.5299999999999794,0.6866666666666796,,
Fm214,90.3333333333314,92.33333333333329,102.6666666666666,104.99999999999838,60.666666666666664,60.1871979167685,3.000000000000002,3.0000000000000635,138.00000000000023,133.99999999999818,0.6466666666666642,0.6433333333333198,0.7866666666666464,0.7366666666666798,13.733333333333329,13.616666666666738
Fm215,75.33333333333145,75.99999999999993,122.99999999999991,127.33333333333171,94.66666666666664,74.98363420168496,1.6666666666666679,1.3333333333333954,121.66666666666683,124.33333333333157,0.6133333333333308,0.5799999999999864,0.7866666666666461,0.7500000000000131,15.02999983666194,13.523333333333401
Fm216,104.3640444211776,105.66666666666661,89.97207544368048,95.99999999999832,4.666666666666652,4.000000000000226,-0.002852425629244603,1.5665892768330616,162.13128496085346,160.33333333333164,0.598169513015015,0.6433333333333198,0.6905133702940742,0.7333333333333468,,17.19000000000007
