genotype,deltaN__dtf,deltaN__height_cm,deltaN__plants_m2,deltaN__number_of_tillers,deltaN__days_to_harvest,deltaN__normalized_difference_vegetation_index,deltaN__fluorescence,deltaN__protein_pct
Fm134,-5.999999999893745,-2.6666666667528744,-0.34969913165622746,4.333333333326717,-6.0000000002675336,-0.03333333333380506,0.016666666667938146,
Fm170,2.333333333335247,-2.6666666666678793,8.187197916768522,0.666666666666782,11.33333333333104,0.016666666666655283,3.219646771412954e-14,
Fm173,5.666666666668746,-3.6666666666680356,-0.34969913164843547,-1.6666666666665702,3.8685077471371017,0.019999999999989027,-0.006666666666634624,
Fm174,0.33333333333538917,-2.333333333334764,0.18719791676852537,2.000000000000104,0.5656424804240601,-0.010000000000011777,-0.016666666666633745,
Fm176,1.3333333333354744,-8.000000000001464,-0.3496991316484568,0.6666666666667691,-0.6666666666693004,-0.0033333333333450677,0.06333333333336744,
Fm181,2.6666666666687604,-10.00000000000145,-11.016365798315022,-0.6666666666665702,1.6666666666640566,-0.0933333333333447,-0.03666666666663454,-0.5799998366459409
Fm185,-1.6666666666646819,-0.3333333333347781,-17.006273077903202,0.33333333333342174,1.3333333333309838,-0.08666666666667827,-0.07333333333330005,
Fm190,-2.333333333331325,0.6666666666652077,8.983634201684914,0.3333333333334152,-2.666666666669073,-0.023333333333344308,0.09666666666669876,0.42833349667146337
Fm193,1.0000000000019469,6.333333333331822,23.353864583435225,-0.3333333333332582,-0.6666666666689594,-0.0033333333333441795,0.00666666666669935,-0.06999999999992923
Fm194,1.6666666666685899,-6.000000000001535,10.174849565824259,-0.6666666666665932,6.666666666664497,-0.10666666666667779,0.02666666666669948,-1.1333331699952005
Fm195,1.9042545318370685e-12,3.3333333333318365,-12.349699131648386,7.344392362633179e-14,2.333333333331211,-0.023333333333344086,0.010000000000032983,1.9700001633381277
Fm203,0.666666666668533,4.666666666665108,-3.8128020832314675,6.306066779870889e-14,0.6666666666645256,0.009999999999989129,0.15666666666669993,0.1950001633381273
Fm208,14.00000000000189,-10.66666666666822,4.000000000000192,0.33333333333339765,-2.6666666666687036,-1.099120794378905e-14,0.15666666666670026,
Fm214,2.00000000000189,2.3333333333317796,-0.47946874989816735,6.128431095930864e-14,-4.000000000002046,-0.0033333333333444015,-0.04999999999996663,-0.11666666666659076
Fm215,0.6666666666684762,4.333333333331794,-19.68303246498168,-0.3333333333332724,2.6666666666647387,-0.03333333333334443,-0.036666666666632985,-1.506666503328539
Fm216,1.3026222454890188,6.027924556317842,-0.6666666666664263,1.5694417024623062,-1.797951627521826,0.04516382031830479,0.0428199630392726,
Fm219,0.6666666666684335,5.666666666665051,2.666666666666771,-0.6666666666666092,1.2844709948035273,-0.006666666666677812,-0.006666666666632515,0.5333335544118007
Fm221,10.33333333333512,2.999999999998394,-3.9999999999997975,5.551115123125783e-14,-2.3333333333351334,-0.08666666666667777,-0.056666666666632004,0.36666666666673464
Fm225,1.7621459846850485e-12,-1.6666666666683057,-0.47946874989814603,-0.6666666666666106,2.999999999998238,0.016666666666655727,-0.0033333333332986603,0.1616668300047941
Fm227,1.7763568394002505e-12,2.6666666666650087,-0.6666666666664511,-1.3333333333332786,0.9999999999982379,-0.0033333333333442905,-0.0599999999999653,
Fm233,2.666666666668476,-3.0000000000016342,8.666666666666842,0.33333333333338894,-1.8474111129762605e-12,0.033333333333322446,0.0600000000000348,2.186666887745144
Fm235,6.000000000001833,-6.666666666668291,-4.47946874989815,-0.666666666666615,-2.3333333333351334,0.006666666666655607,0.04333333333336814,
Fm236,2.666666666668462,-7.666666666668277,1.8538645834351755,5.129230373768223e-14,4.999999999998096,-0.03000000000001113,-0.019999999999965712,-0.5219182618492564
Fm238,-2.3333333333315096,6.999999999998366,2.9836342016848683,0.6666666666667176,-0.10102418624188658,0.019999999999988916,0.023333333333367956,
Fm249,8.333333333335133,-2.0000000000016342,-0.3496991316484497,-0.3333333333332811,-3.1314922528623583,0.023333333333322437,0.04666666666670094,
Fm250,1.8474111129762605e-12,-2.3333333333349344,,4.8683279629813114e-14,3.3333333333313533,0.013333333333322206,-0.006666666666632293,
Fm3,0.33333333333521864,-3.333333333334963,3.1871979167684756,0.333333333333381,0.33333333333141013,-0.04333333333334466,-0.03333333333329902,
Fm321,1.666666666668533,-6.666666666668334,-8.683032464981796,0.333333333333381,3.9999999999980105,0.016666666666655616,-0.08333333333329895,1.1433333333334037
Fm322,9.00000000000189,4.33333333333168,7.650300868351522,4.7628567756419216e-14,3.666666666664696,-0.023333333333344308,-0.029999999999965166,
Fm337,1.6666666666685472,3.333333333331666,7.333333333333527,0.6666666666667133,-3.000000000001961,0.05666666666665521,0.16333333333336808,-1.7666666666665947
Fm341,3.3333333333352044,-8.333333333334977,0.18719791676847564,2.6666666666667123,1.3333333333313817,0.026666666666655403,0.053333333333368094,0.23333349667146308
Fm343,2.6666666666685757,6.666666666665051,-3.016365798315121,0.6666666666667118,0.9999999999980673,0.003333333333321864,0.10333333333336803,
Fm344,-1.9999999999981242,-1.6666666666683625,-5.333333333333124,4.374278717023117e-14,0.9999999999979821,-0.01666666666667843,0.03666666666670221,
Fm345,-0.33333333333143855,-1.6484591469634324e-12,10.983634201684868,4.4853010194856324e-14,-5.964825586195644,0.0499999999999885,0.16000000000003434,
Fm346,-0.08664248949348519,6.312801225685618,0.31696753501819375,0.9916139242348827,5.157272859527978,-2.5688333335283087e-4,0.0507102578566358,
Fm347,1.8900436771218665e-12,0.9999999999983658,-2.4794687498981673,4.241051954068098e-14,-2.6666666666686467,0.009999999999988463,0.03333333333336774,0.42500016333812773
Fm349,1.333333333335247,-3.0000000000016342,-1.016365798315153,4.440892098500626e-14,14.333333333331382,-0.006666666666678145,0.03333333333336774,0.5533335544118021
Fm351,5.000000000001904,3.666666666665023,3.8538645834351755,0.333333333333377,16.333333333331296,-0.15333333333334498,-0.12999999999996548,2.903333554411798
Fm352,-2.586642843597474,2.312801225685618,-2.8027093628196367,2.3393864346465936,-4.767483560901695,0.058478424282710995,-0.045235373189439376,
Fm354,1.3333333333352329,-4.000000000001634,9.650300868351493,0.6666666666667094,-9.33333333333539,0.0666666666666551,0.016666666666701135,1.9900002210784642
Fm355,5.000000000001904,2.3333333333316517,0.5205312501018398,0.666666666666709,7.999999999997982,-0.0800000000000115,0.03666666666670115,2.0316668300047915
Fm356,4.333333333335219,-5.00000000000162,2.316967535018172,4.196643033083092e-14,5.951137661470227,-0.06666666666667831,-0.14999999999996538,2.784748625895798
Fm358,-2.3333333333314243,2.99999999999838,20.18971657605151,0.6666666666667074,0.6666666666646393,0.009999999999988185,-0.26999999999996543,
Fm359,-3.333333333331396,3.666666666665037,-0.4794687498981496,1.0000000000000406,-9.666666666668732,0.0533333333333218,0.14333333333336795,0.4997485681554643
Fm36,1.9468870959826745e-12,10.999999999998352,-4.4794687498981816,0.33333333333337434,-1.3333333333353323,0.05333333333332163,0.0666666666667014,
Fm361,-1.1666667681910496,5.974306292016365,8.316967535018165,1.6145165669123367,-2.3333333333353607,0.06100887041320313,0.05642223755828657,-2.409999836661868
Fm363,9.000000000001933,3.666666666665023,-3.4794687498981602,0.3333333333333739,-2.333333333335389,0.0499999999999885,0.0066666666667007934,1.9800002210786953
Fm364,-0.9999999999980815,0.6666666666650087,6.000000000000154,1.00000000000004,-10.63149225286233,0.10666666666665492,0.14333333333336806,
Fm365,3.66666666666859,6.666666666665037,,-0.3333333333332943,2.3333333333312964,0.016666666666655172,-0.11333333333329898,1.103333496671457
Fm366,2.0000000000019185,-3.0000000000016485,9.020531250101826,0.6666666666667076,5.999999999997954,0.02666666666665518,0.06333333333336766,1.936666666666735
Fm368,4.000000000001933,-1.00000000000162,5.3333333333334965,0.333333333333373,13.065642480424458,-0.09000000000001152,0.030000000000034555,1.4797485681554559
Fm369,-7.9999999999980815,8.66666666666498,-1.8128020832314915,-0.3333333333332953,1.9999999999978968,0.08666666666665535,-0.1599999999999654,4.026666887745362
Fm370,3.3333333333352613,-4.333333333334949,3.1871979167684827,-0.33333333333329307,-1.3333333333353892,0.019999999999988416,0.04333333333336825,
Fm372,-2.999999999998053,9.999999999998366,7.841516232490921,1.000000000000039,-6.333333333335389,0.026666666666655403,0.07333333333336745,-1.4066665033285322
Fm375,2.000000000001947,-5.000000000001606,-9.3333333333332,-0.99999999999996,8.66666666666461,-0.030000000000011573,-0.013333333333298891,0.581666830004794
Fm376,-0.33333333333141013,1.6666666666650656,6.853864583435147,1.0000000000000395,-3.000000000002075,0.019999999999988582,0.01666666666670147,1.126666830004794
Fm377,3.3333333333352755,4.666666666665037,25.650300868351536,0.6666666666667054,-0.3333333333354176,0.006666666666655163,-0.06333333333329894,-0.35525137410397534
Fm378,4.66666666666859,-2.6666666666682772,,1.333333333333373,16.999999999997925,-0.09333333333334481,-0.11999999999996552,1.6600002210786968
Fm379,0.6666666666686041,6.666666666665037,-1.8027093628196091,-0.99999999999996,0.8989758137578292,-0.026666666666678385,0.06666666666670085,1.3883334966714624
Fm380,6.66666666666859,9.666666666665037,8.00000000000012,1.0000000000000389,-4.333333333335418,0.009999999999988463,0.05666666666670106,2.2650001633381205
Fm381,-3.9999999999980673,5.666666666665066,,0.6666666666667065,-6.666666666668732,-0.013333333333344743,0.10000000000003428,-0.0466664455879755
Fm382,3.66666666666859,3.666666666665037,6.85386458343517,-0.6666666666666226,7.3333333333312964,0.0366666666666553,0.05333333333336743,1.9050001633381228
Fm384,-0.9999999999980531,4.666666666665037,7.520531250101843,1.3333333333333734,-0.6666666666687604,-0.03666666666667806,-0.03999999999996534,-2.4899997789213053
Fm387,3.000000000001947,-6.333333333334906,-13.683032464981821,0.3333333333333741,6.394288353807298,-0.04000000000001136,0.003333333333367272,
Fm388,0.6666666666686041,-6.333333333334934,-3.479468749898178,2.000000000000043,-7.333333333335474,0.09666666666665547,0.05000000000003424,1.5683334966714604
Fm389,0.3333333333352755,2.9999999999983658,16.1871979167685,1.3333333333333743,2.333333333331211,0.009999999999988463,0.010000000000034315,2.9733335544120205
Fm391,-1.3333333333313817,6.666666666665066,-1.8128020832315013,1.0000000000000415,6.666666666664582,0.03333333333332189,0.053333333333367205,-0.19999999999992468
Fm392,1.0000000000019469,-0.3333333333349202,7.3333333333334565,1.3333333333333748,3.9999999999978684,-0.10000000000001119,-0.04333333333329947,0.9866666666667339
Fm394,1.0000000000019469,3.66666666666508,5.650300868351518,-0.3333333333332913,-12.680354591390028,0.05999999999998873,-0.08190203985610656,-2.7299998366618734
Fm395,1.9468870959826745e-12,3.333333333331737,,0.33333333333337567,-3.0000000000021316,-0.0033333333333446236,0.06266666666670084,1.3233335544120255
Fm396,-1.6666666666647245,-1.00000000000162,6.520531250101807,1.6666666666667114,-10.333333333335418,0.10333333333332184,0.03666666666670082,
Fm398,2.9133570548763004,2.78710751770366,-5.016365798315167,0.9478499002456751,6.183654100570664,-0.0355127053040738,0.017853531035479042,2.2297485681554488
Fm400,1.9326762412674725e-12,4.666666666665051,3.1871979167685005,-0.3333333333332904,3.666666666664611,-0.08000000000001184,-0.019999999999965823,1.3566668300047873
Fm401,0.3333333333352613,9.99999999999838,2.1972906371803873,-0.33333333333329274,3.3333333333312964,-0.0566666666666783,-0.08666666666663225,0.8000000000000682
Fm402,2.0000000000019185,6.666666666665051,14.316967535018179,4.263256414560601e-14,1.3333333333312396,0.009999999999988463,-0.09666666666663248,0.1300001633381207
Fm404,1.499999747424269,4.588516468167825,,0.2332559434996999,-7.678759348616325,0.05439310386950291,0.05929879806237082,1.0199243668269098
