sample	called	missing	missing_rate	status
Fm228	246150	661736	0.728876	removed
Fm13	902332	5554	0.00611751	kept
Fm15	898886	9000	0.00991314	kept
Fm17	896971	10915	0.0120224	kept
Fm19	903704	4182	0.00460631	kept
Fm30	833667	74219	0.0817493	kept
Fm32	865244	42642	0.0469685	kept
Fm33	902594	5292	0.00582893	kept
Fm36	902968	4918	0.00541698	kept
Fm39	796679	111207	0.12249	removed
Fm40	905606	2280	0.00251133	kept
Fm41	877506	30380	0.0334624	kept
Fm43	879087	28799	0.0317209	kept
Fm44	858486	49400	0.0544121	kept
Fm45	827237	80649	0.0888316	kept
Fm46	881658	26228	0.0288891	kept
Fm48	905276	2610	0.00287481	kept
Fm50	905651	2235	0.00246176	kept
Fm51	846476	61410	0.0676407	kept
Fm54	890552	17334	0.0190927	kept
Fm55	902788	5098	0.00561524	kept
Fm57	903514	4372	0.00481558	kept
Fm58	816949	90937	0.100163	removed
Fm60	901270	6616	0.00728726	kept
Fm63	895033	12853	0.0141571	kept
Fm65	859973	47913	0.0527742	kept
Fm67	901436	6450	0.00710442	kept
Fm70	895721	12165	0.0133993	kept
Fm71	809329	98557	0.108557	removed
Fm72	816975	90911	0.100135	removed
Fm73	886615	21271	0.0234292	kept
Fm74	818717	89169	0.0982161	kept
Fm76	899759	8127	0.00895156	kept
Fm78	902304	5582	0.00614835	kept
Fm80	889197	18689	0.0205852	kept
Fm81	869994	37892	0.0417365	kept
Fm83	895519	12367	0.0136218	kept
Fm84	904971	2915	0.00321076	kept
Fm86	855150	52736	0.0580866	kept
Fm88	883834	24052	0.0264923	kept
Fm91	902755	5131	0.00565159	kept
Fm93	879194	28692	0.0316031	kept
Fm94	882334	25552	0.0281445	kept
Fm96	856458	51428	0.0566459	kept
Fm98	879457	28429	0.0313134	kept
Fm100	903140	4746	0.00522753	kept
Fm102	904581	3305	0.00364032	kept
Fm104	899479	8407	0.00925997	kept
Fm106	824844	83042	0.0914674	kept
Fm112	900407	7479	0.00823782	kept
Fm113	901947	5939	0.00654157	kept
Fm119	810957	96929	0.106763	removed
Fm120	881316	26570	0.0292658	kept
Fm129	902577	5309	0.00584765	kept
Fm132	791681	116205	0.127995	removed
Fm134	107024	800862	0.882117	removed
Fm135	872047	35839	0.0394752	kept
Fm136	869041	38845	0.0427862	kept
Fm138	905361	2525	0.00278119	kept
Fm139	847223	60663	0.0668179	kept
Fm140	892527	15359	0.0169173	kept
Fm141	876863	31023	0.0341706	kept
Fm142	854002	53884	0.0593511	kept
Fm144	735375	172511	0.190014	removed
Fm153	895427	12459	0.0137231	kept
Fm161	896188	11698	0.0128849	kept
Fm164	894400	13486	0.0148543	kept
Fm167	898585	9301	0.0102447	kept
Fm170	901361	6525	0.00718703	kept
Fm172	854475	53411	0.0588301	kept
Fm173	847935	59951	0.0660336	kept
Fm174	901727	6159	0.00678389	kept
Fm175	886262	21624	0.023818	kept
Fm176	887966	19920	0.0219411	kept
Fm177	863114	44772	0.0493146	kept
Fm179	898447	9439	0.0103967	kept
Fm180	843201	64685	0.0712479	kept
Fm183	190262	717624	0.790434	removed
Fm184	884481	23405	0.0257797	kept
Fm185	804110	103776	0.114305	removed
Fm188	864698	43188	0.0475698	kept
Fm190	805918	101968	0.112314	removed
Fm191	826072	81814	0.0901148	kept
Fm194	825902	81984	0.0903021	kept
Fm195	875657	32229	0.035499	kept
Fm197	876857	31029	0.0341772	kept
Fm199	768694	139192	0.153314	removed
Fm200	646128	261758	0.288316	removed
Fm201	890838	17048	0.0187777	kept
Fm202	874289	33597	0.0370057	kept
Fm203	581534	326352	0.359464	removed
Fm206	808550	99336	0.109415	removed
Fm207	868456	39430	0.0434306	kept
Fm208	802510	105376	0.116067	removed
Fm209	802523	105363	0.116053	removed
Fm218	876187	31699	0.0349152	kept
Fm220	272172	635714	0.700213	removed
Fm221	809625	98261	0.108231	removed
Fm225	881393	26493	0.029181	kept
Fm231	751919	155967	0.171791	removed
Fm233	889998	17888	0.0197029	kept
Fm234	897984	9902	0.0109067	kept
Fm235	852771	55115	0.060707	kept
Fm236	833455	74431	0.0819828	kept
Fm238	868511	39375	0.04337	kept
Fm240	80135	827751	0.911735	removed
Fm241	802379	105507	0.116212	removed
Fm242	436776	471110	0.518909	removed
Fm245	823509	84377	0.0929379	kept
Fm246	740583	167303	0.184278	removed
Fm247	896574	11312	0.0124597	kept
Fm249	838084	69802	0.0768841	kept
Fm250	887204	20682	0.0227804	kept
Fm251	890833	17053	0.0187832	kept
Fm253	866618	41268	0.045455	kept
Fm255	898076	9810	0.0108053	kept
Fm321	801477	106409	0.117205	removed
Fm325	785259	122627	0.135069	removed
Fm326	770964	136922	0.150814	removed
Fm328	899921	7965	0.00877313	kept
Fm332	891767	16119	0.0177544	kept
Fm334	775177	132709	0.146174	removed
Fm336	897868	10018	0.0110344	kept
Fm337	897728	10158	0.0111886	kept
Fm338	729087	178799	0.19694	removed
Fm341	858113	49773	0.054823	kept
Fm344	896244	11642	0.0128232	kept
Fm345	866476	41410	0.0456115	kept
Fm346	903340	4546	0.00500724	kept
Fm347	898221	9665	0.0106456	kept
Fm348	890125	17761	0.019563	kept
Fm349	891442	16444	0.0181124	kept
Fm351	898006	9880	0.0108824	kept
Fm352	899869	8017	0.0088304	kept
Fm355	892582	15304	0.0168567	kept
Fm356	901424	6462	0.00711763	kept
Fm357	892067	15819	0.017424	kept
Fm358	898511	9375	0.0103262	kept
Fm359	875385	32501	0.0357985	kept
Fm364	615762	292124	0.321763	removed
Fm366	781599	126287	0.1391	removed
Fm368	844606	63280	0.0697004	kept
Fm369	902058	5828	0.00641931	kept
Fm370	842168	65718	0.0723857	kept
Fm371	647243	260643	0.287088	removed
Fm372	833263	74623	0.0821942	kept
Fm374	894161	13725	0.0151175	kept
Fm375	900458	7428	0.00818164	kept
Fm376	878360	29526	0.0325217	kept
Fm377	869953	37933	0.0417817	kept
Fm378	99877	808009	0.889989	removed
Fm379	883557	24329	0.0267974	kept
Fm380	898715	9171	0.0101015	kept
Fm382	901957	5929	0.00653056	kept
Fm384	881504	26382	0.0290587	kept
Fm388	870989	36897	0.0406406	kept
Fm389	891217	16669	0.0183602	kept
Fm390	853556	54330	0.0598423	kept
Fm392	875351	32535	0.035836	kept
Fm395	895760	12126	0.0133563	kept
Fm398	877821	30065	0.0331154	kept
Fm400	751297	156589	0.172477	removed
Fm401	728401	179485	0.197696	removed
Fm402	781010	126876	0.139749	removed
