year,treatment,trait,n_rows,n_observed,n_missing,minimum,median,mean,maximum
2023,None,days_to_harvest,672,0,672,,,,
2023,None,dtf,672,654,18,79,114,120.33180428134561,198
2023,None,fat_pct,672,339,333,1.8451042716492554,3.9041321476526996,3.8824771654632806,5.444388014220719
2023,None,fluorescence,672,0,672,,,,
2023,None,height_cm,672,672,0,76,120,120.27678571428572,155
2023,None,normalized_difference_vegetation_index,672,0,672,,,,
2023,None,number_of_tillers,672,0,672,,,,
2023,None,panicle_length_cm,672,438,234,6,12,12.696347031963473,22
2023,None,pedicel_length_cm,672,438,234,0.1,3.5,4.218493150684929,28
2023,None,plants_m2,672,672,0,0,60,65.17857142857146,156
2023,None,protein_pct,672,369,303,8.64608097076416,15.048663139343262,15.249953453456806,22.455802917480472
2023,None,thousand_seed_fat,672,330,342,0,0.09524679802915482,0.09557753001889506,0.1852981514905176
2023,None,thousand_seed_protein,672,354,318,0,0.3611209257401312,0.36085967605095864,0.5976109553279554
2023,None,thousand_seed_weight_g,672,448,224,0.3373042616451933,2.4070909394963045,2.347119520662718,3.883879999999999
2024,N120,days_to_harvest,450,419,31,121,162,164.65393794749406,192
2024,N120,dtf,450,429,21,73,106,108.85314685314684,163
2024,N120,fat_pct,450,0,450,,,,
2024,N120,fluorescence,450,442,8,0.12000000000000001,0.6599999999999999,0.6272805429864253,0.81
2024,N120,height_cm,450,442,8,30,102,102.13800904977376,150
2024,N120,normalized_difference_vegetation_index,450,442,8,0.3,0.63,0.6140045248868778,0.74
2024,N120,number_of_tillers,450,442,8,0,2,3.920814479638007,38
2024,N120,panicle_length_cm,450,0,450,,,,
2024,N120,pedicel_length_cm,450,0,450,,,,
2024,N120,plants_m2,450,252,198,0,36,39.70634920634921,118
2024,N120,protein_pct,450,324,126,0,16.11,16.306512345679014,29.2
2024,N120,thousand_seed_fat,450,0,450,,,,
2024,N120,thousand_seed_protein,450,0,450,,,,
2024,N120,thousand_seed_weight_g,450,0,450,,,,
2024,N40,days_to_harvest,450,414,36,121,162,163.6497584541063,192
2024,N40,dtf,450,427,23,72,106,107.76346604215456,158
2024,N40,fat_pct,450,0,450,,,,
2024,N40,fluorescence,450,441,9,0.25,0.65,0.6231065759637188,0.81
2024,N40,height_cm,450,442,8,32,101,101.27149321266968,140
2024,N40,normalized_difference_vegetation_index,450,442,8,0.32999999999999996,0.63,0.6108144796380091,0.7799999999999999
2024,N40,number_of_tillers,450,443,7,0,2,3.2686230248307067,28
2024,N40,panicle_length_cm,450,0,450,,,,
2024,N40,pedicel_length_cm,450,0,450,,,,
2024,N40,plants_m2,450,442,8,0,34,38.776018099547514,118
2024,N40,protein_pct,450,195,255,0,15.229999999999999,15.349384615384615,23.58
2024,N40,thousand_seed_fat,450,0,450,,,,
2024,N40,thousand_seed_protein,450,0,450,,,,
2024,N40,thousand_seed_weight_g,450,0,450,,,,
