dataset,trait,model,input,markers_in_table,markers_plotted,significant_snps_highlighted,trait_subset_maf_filter,bonferroni_threshold,lambda_gc
2023,dtf,MLM,/Users/nel6/Desktop/Documents/Collaborations/nottingham/foxtailgwas/results/gwas/2023/dtf/MLM/GAPIT.Association.GWAS_Results.MLM.dtf(NYC).csv,848687,836300,0,0.05,5.8914535040598e-08,0.950563882337341
2023,dtf,FarmCPU,/Users/nel6/Desktop/Documents/Collaborations/nottingham/foxtailgwas/results/gwas/2023/dtf/FarmCPU/GAPIT.Association.GWAS_Results.FarmCPU.dtf(NYC).csv,848687,836300,12,0.05,5.8914535040598e-08,0.954631049269332
2023,dtf,BLINK,/Users/nel6/Desktop/Documents/Collaborations/nottingham/foxtailgwas/results/gwas/2023/dtf/BLINK/GAPIT.Association.GWAS_Results.BLINK.dtf(NYC).csv,848687,836300,1,0.05,5.8914535040598e-08,1.22839713647297
2023,height_cm,MLM,/Users/nel6/Desktop/Documents/Collaborations/nottingham/foxtailgwas/results/gwas/2023/height_cm/MLM/GAPIT.Association.GWAS_Results.MLM.height_cm(NYC).csv,848687,840452,0,0.05,5.8914535040598e-08,1.01834797375689
2023,height_cm,FarmCPU,/Users/nel6/Desktop/Documents/Collaborations/nottingham/foxtailgwas/results/gwas/2023/height_cm/FarmCPU/GAPIT.Association.GWAS_Results.FarmCPU.height_cm(NYC).csv,848687,840452,0,0.05,5.8914535040598e-08,0.942236795035309
2023,height_cm,BLINK,/Users/nel6/Desktop/Documents/Collaborations/nottingham/foxtailgwas/results/gwas/2023/height_cm/BLINK/GAPIT.Association.GWAS_Results.BLINK.height_cm(NYC).csv,848687,840452,1,0.05,5.8914535040598e-08,0.974621794683377
2023,plants_m2,MLM,/Users/nel6/Desktop/Documents/Collaborations/nottingham/foxtailgwas/results/gwas/2023/plants_m2/MLM/GAPIT.Association.GWAS_Results.MLM.plants_m2(NYC).csv,848687,840452,0,0.05,5.8914535040598e-08,0.999241879930101
2023,plants_m2,FarmCPU,/Users/nel6/Desktop/Documents/Collaborations/nottingham/foxtailgwas/results/gwas/2023/plants_m2/FarmCPU/GAPIT.Association.GWAS_Results.FarmCPU.plants_m2(NYC).csv,848687,840452,0,0.05,5.8914535040598e-08,1.0190408919836
2023,plants_m2,BLINK,/Users/nel6/Desktop/Documents/Collaborations/nottingham/foxtailgwas/results/gwas/2023/plants_m2/BLINK/GAPIT.Association.GWAS_Results.BLINK.plants_m2(NYC).csv,848687,840452,0,0.05,5.8914535040598e-08,1.01926129855494
2023,thousand_seed_weight_g,MLM,/Users/nel6/Desktop/Documents/Collaborations/nottingham/foxtailgwas/results/gwas/2023/thousand_seed_weight_g/MLM/GAPIT.Association.GWAS_Results.MLM.thousand_seed_weight_g(NYC).csv,848687,793558,0,0.05,5.8914535040598e-08,1.01599212189611
2023,thousand_seed_weight_g,FarmCPU,/Users/nel6/Desktop/Documents/Collaborations/nottingham/foxtailgwas/results/gwas/2023/thousand_seed_weight_g/FarmCPU/GAPIT.Association.GWAS_Results.FarmCPU.thousand_seed_weight_g(NYC).csv,848687,793558,0,0.05,5.8914535040598e-08,0.936296825439091
2023,thousand_seed_weight_g,BLINK,/Users/nel6/Desktop/Documents/Collaborations/nottingham/foxtailgwas/results/gwas/2023/thousand_seed_weight_g/BLINK/GAPIT.Association.GWAS_Results.BLINK.thousand_seed_weight_g(NYC).csv,848687,793558,2,0.05,5.8914535040598e-08,1.05760378891298
2023,protein_pct,MLM,/Users/nel6/Desktop/Documents/Collaborations/nottingham/foxtailgwas/results/gwas/2023/protein_pct/MLM/GAPIT.Association.GWAS_Results.MLM.protein_pct(NYC).csv,848687,788468,0,0.05,5.8914535040598e-08,1.0312816471061
