dataset,trait,model,n,status,started,updated,detail
2023,dtf,MLM,125,started,2026-09-08 17:20:06.440432,2026-09-08 17:20:06.480721,""
2023,dtf,MLM,125,completed,2026-09-08 17:20:06.440432,2026-09-08 17:23:55.426676,""
2023,dtf,FarmCPU,125,started,2026-09-08 17:23:56.033833,2026-09-08 17:23:56.034145,""
2023,dtf,FarmCPU,125,completed,2026-09-08 17:23:56.033833,2026-09-08 17:31:36.035422,""
2023,dtf,BLINK,125,started,2026-09-08 17:31:38.159535,2026-09-08 17:31:38.160304,""
2023,dtf,BLINK,125,completed,2026-09-08 17:31:38.159535,2026-09-08 17:35:31.389074,""
2023,height_cm,MLM,129,started,2026-09-08 17:35:33.295598,2026-09-08 17:35:33.296207,""
2023,height_cm,MLM,129,completed,2026-09-08 17:35:33.295598,2026-09-08 17:39:36.307227,""
2023,height_cm,FarmCPU,129,started,2026-09-08 17:39:38.006649,2026-09-08 17:39:38.00782,""
2023,height_cm,FarmCPU,129,completed,2026-09-08 17:39:38.006649,2026-09-08 17:41:50.779911,""
2023,height_cm,BLINK,129,started,2026-09-08 17:41:52.511492,2026-09-08 17:41:52.511841,""
2023,height_cm,BLINK,129,completed,2026-09-08 17:41:52.511492,2026-09-08 17:46:39.594373,""
2023,plants_m2,MLM,129,started,2026-09-08 17:46:43.150569,2026-09-08 17:46:43.15179,""
2023,plants_m2,MLM,129,completed,2026-09-08 17:46:43.150569,2026-09-08 17:50:52.010517,""
2023,plants_m2,FarmCPU,129,started,2026-09-08 17:50:54.021105,2026-09-08 17:50:54.022022,""
2023,plants_m2,FarmCPU,129,completed,2026-09-08 17:50:54.021105,2026-09-08 17:53:10.508872,""
2023,plants_m2,BLINK,129,started,2026-09-08 17:53:12.063704,2026-09-08 17:53:12.063989,""
2023,plants_m2,BLINK,129,completed,2026-09-08 17:53:12.063704,2026-09-08 17:55:26.427197,""
2023,thousand_seed_weight_g,MLM,86,started,2026-09-08 17:55:28.698498,2026-09-08 17:55:28.69887,""
2023,thousand_seed_weight_g,MLM,86,completed,2026-09-08 17:55:28.698498,2026-09-08 17:58:20.721174,""
