distance_bin_bp,mean_r2,median_r2,n_pairs
12500,0.0805879761200078,0.0197416582743625,2704
37500,0.0700748562818457,0.0170041426684123,1944
62500,0.0629556391640654,0.0180558781042509,1895
87500,0.0639856222674627,0.0153745753839268,1925
112500,0.0591690727504877,0.014828693521808,1844
137500,0.0558754987588358,0.0142774472638091,1810
162500,0.0565719770745426,0.0155437153410757,1907
187500,0.0571300249088681,0.0155423139462266,1910
212500,0.0535280661279795,0.0149942969361754,1802
237500,0.0528442093376706,0.0147279442162106,1791
262500,0.0471604171136459,0.0154913622637797,1825
287500,0.0549771683080832,0.016763177459421,1796
312500,0.0521235654531619,0.0147788177681131,1835
337500,0.051272617568369,0.0142216579019454,1723
362500,0.0463179556390356,0.0146099052480355,1768
387500,0.0490734165280337,0.0147981403342159,1760
412500,0.0439504944313341,0.0144467216318617,1735
437500,0.044373279775223,0.0136423572902427,1695
462500,0.0463193527088047,0.0134513467010253,1700
487500,0.0445830713260654,0.0137657370846685,1717
512500,0.0476534384026462,0.0141082919520942,1692
537500,0.0484540208951275,0.0148405920635808,1720
562500,0.0470298472004802,0.0141394816297284,1744
587500,0.0444222711925058,0.014486178887186,1735
612500,0.0454153064953454,0.0128083256315218,1641
637500,0.0445662086017766,0.012542668777773,1762
662500,0.0440836504857528,0.0140931418968245,1676
687500,0.0443020264135381,0.0125841443813793,1721
712500,0.0484576888013256,0.0137197699983088,1681
737500,0.0416770374963018,0.0131627719580983,1685
762500,0.0443545246760175,0.0122085754225205,1626
787500,0.0403227605489519,0.0122736734613724,1581
812500,0.037561060419612,0.0115628136364011,1680
837500,0.0450641825385073,0.0123386182058095,1691
862500,0.0413463062566181,0.0132355320259738,1624
887500,0.0420098143649676,0.0119714566505064,1723
912500,0.045525115949672,0.0140921525532638,1709
937500,0.0432659537422677,0.0127325641825174,1661
962500,0.0388661751857147,0.0128773483375606,1658
987500,0.0393344770381731,0.0129589239341099,1648
1012500,0.0394573314729079,0.0110194274267692,1569
1037500,0.0411901032150988,0.0124398874943018,1633
1062500,0.0379375307973677,0.0130645658619953,1714
1087500,0.040861765609696,0.0137589433131535,1667
1112500,0.0412862692164111,0.0119949944915574,1632
1137500,0.042473495985189,0.0135042750219744,1631
1162500,0.0395583312840028,0.0124459747089773,1654
1187500,0.0424713324496923,0.0118584829921423,1665
1212500,0.042408493959586,0.0134188779222701,1646
1237500,0.0380151973581769,0.0120939429354888,1648
1262500,0.0398177058510515,0.0133230241583936,1630
1287500,0.0377426029115552,0.0118216442564653,1551
1312500,0.0422763939454659,0.013548666811186,1519
1337500,0.0397518808792588,0.0128267572140645,1596
1362500,0.0389942782307401,0.0133681043272418,1627
1387500,0.0407242463518523,0.0126727583349231,1588
1412500,0.0386442554693383,0.0135713980027971,1563
1437500,0.0405447875999796,0.0134010926218798,1554
1462500,0.0389057603901073,0.0134657733049136,1597
1487500,0.038914064265532,0.012575427405839,1547
1512500,0.0338423744855886,0.0118642481471068,1581
1537500,0.0367102154834004,0.0124991777217409,1653
1562500,0.0366634738614906,0.0123808687953983,1616
1587500,0.0328247312076625,0.0111913410255952,1638
1612500,0.0367971203209762,0.0132519500899257,1547
1637500,0.0406121813679999,0.012909488845364,1582
1662500,0.0418522217464323,0.0134175842224281,1602
1687500,0.0429431807450871,0.0129896551823765,1594
1712500,0.0404691580445372,0.0122290708892701,1588
1737500,0.0374643494293082,0.0118309372802627,1590
1762500,0.0403368322413963,0.0129144777411108,1566
1787500,0.0362159808720169,0.0133817598380392,1594
1812500,0.038245799167752,0.0129811979079726,1639
1837500,0.042142218593401,0.0134890623984849,1528
1862500,0.0446962645458879,0.0121891118415039,1580
1887500,0.0384106573276289,0.012890287336883,1556
1912500,0.0345922627701478,0.0116845427655991,1661
1937500,0.0420188254833357,0.0134788941595568,1613
1962500,0.0366927860869926,0.0119518369503305,1612
1987500,0.0376709536412768,0.0118635721718448,1567
