dataset,trait,significant_associations,models_with_hits,minimum_p
2023,dtf,14,2,2.65867197566936e-23
2023,fat_pct,0,0,1.57864116800202e-06
2023,height_cm,1,1,2.96505397234618e-12
2023,panicle_length_cm,11,1,3.90473028399145e-15
2023,pedicel_length_cm,17,3,1.88832244808864e-14
2023,plants_m2,0,0,1.91882571340132e-06
2023,protein_pct,0,0,7.86572688069866e-07
2023,thousand_seed_weight_g,3,1,4.62548432451453e-11
2024_N120,days_to_harvest,7,2,2.83546784505742e-29
2024_N120,dtf,11,2,1.02319891921624e-20
2024_N120,fluorescence,0,0,4.83133736440173e-07
2024_N120,height_cm,10,2,5.08271507300192e-14
2024_N120,normalized_difference_vegetation_index,0,0,9.34451929572444e-07
2024_N120,number_of_tillers,32,3,1.63417130364314e-49
2024_N120,plants_m2,0,0,3.65403701203006e-06
2024_N120,protein_pct,11,2,5.57699435056582e-18
2024_N40,days_to_harvest,7,2,1.06755750542175e-31
2024_N40,dtf,17,2,7.2158074710364e-20
2024_N40,fluorescence,0,0,7.94795027524902e-07
2024_N40,height_cm,7,2,3.76822038249173e-22
2024_N40,normalized_difference_vegetation_index,0,0,4.08723015031647e-07
2024_N40,number_of_tillers,28,3,7.0051429959395e-53
2024_N40,plants_m2,0,0,3.93405752943727e-06
2024_N40,protein_pct,5,2,5.38251435561799e-16
