Taxa,genotype
1,Fm13
2,Fm15
3,Fm17
4,Fm19
5,Fm30
6,Fm32
7,Fm33
8,Fm36
9,Fm40
10,Fm41
11,Fm43
12,Fm44
13,Fm45
14,Fm46
15,Fm48
16,Fm50
17,Fm51
18,Fm54
19,Fm55
20,Fm57
21,Fm60
22,Fm63
23,Fm65
24,Fm67
25,Fm70
26,Fm73
27,Fm74
28,Fm76
29,Fm78
30,Fm80
31,Fm81
32,Fm83
33,Fm84
34,Fm86
35,Fm88
36,Fm91
37,Fm93
38,Fm94
39,Fm96
40,Fm98
41,Fm100
42,Fm102
43,Fm104
44,Fm106
45,Fm112
46,Fm113
47,Fm120
48,Fm129
49,Fm135
50,Fm136
51,Fm138
52,Fm139
53,Fm140
54,Fm141
55,Fm142
56,Fm153
57,Fm161
58,Fm164
59,Fm167
60,Fm170
61,Fm172
62,Fm173
63,Fm174
64,Fm175
65,Fm176
66,Fm177
67,Fm179
68,Fm180
69,Fm184
70,Fm188
71,Fm191
72,Fm194
73,Fm195
74,Fm197
75,Fm201
76,Fm202
77,Fm207
78,Fm218
79,Fm225
80,Fm233
81,Fm234
82,Fm235
83,Fm236
84,Fm238
85,Fm245
86,Fm247
87,Fm249
88,Fm250
89,Fm251
90,Fm253
91,Fm255
92,Fm328
93,Fm332
94,Fm336
95,Fm337
96,Fm341
97,Fm344
98,Fm345
99,Fm346
100,Fm347
101,Fm348
102,Fm349
103,Fm351
104,Fm352
105,Fm355
106,Fm356
107,Fm357
108,Fm358
109,Fm359
110,Fm368
111,Fm369
112,Fm370
113,Fm372
114,Fm374
115,Fm375
116,Fm376
117,Fm377
118,Fm379
119,Fm380
120,Fm382
121,Fm384
122,Fm388
123,Fm389
124,Fm390
125,Fm392
126,Fm395
127,Fm398
128,Fm403
129,Fm404
130,Fm405
131,Fm406
132,Fm407
133,Fm408
134,Fm409
135,Fm410
136,Fm413
137,Fm414
138,Fm415
139,Fm416
140,Fm418
141,Fm420
142,Fm422
143,Fm428
144,Fm443
145,Fm444
146,Fm452
147,Fm463
148,Fm468
149,Fm474
150,Fm476
151,Fm482
152,Fm491
153,Fm522
154,Fm523
155,Fm524
156,Fm537
157,Fm555
158,Fm558
159,Fm560
160,Fm566
161,Fm575
162,Fm581
163,Fm583
164,Fm585
165,Fm589
166,Fm595
167,Fm601
168,Fm602
169,Fm604
170,Fm609
171,Fm612
172,Fm614
173,Fm615
174,Fm617
175,Fm620
176,Fm621
177,Fm681
