environment,genotype,block,value,trait,trait_label
LN2023,Fm104,1,186,dtf,Days to flowering
LN2023,Fm104,2,163,dtf,Days to flowering
LN2023,Fm104,3,191,dtf,Days to flowering
LN2023,Fm112,1,142,dtf,Days to flowering
LN2023,Fm112,2,159,dtf,Days to flowering
LN2023,Fm112,3,160,dtf,Days to flowering
LN2023,Fm113,1,149,dtf,Days to flowering
LN2023,Fm113,2,149,dtf,Days to flowering
LN2023,Fm113,3,150,dtf,Days to flowering
LN2023,Fm119,1,135,dtf,Days to flowering
LN2023,Fm119,2,191,dtf,Days to flowering
LN2023,Fm119,3,160,dtf,Days to flowering
LN2023,Fm12,1,141,dtf,Days to flowering
LN2023,Fm12,2,154,dtf,Days to flowering
LN2023,Fm12,3,154,dtf,Days to flowering
LN2023,Fm131,1,165,dtf,Days to flowering
LN2023,Fm131,2,198,dtf,Days to flowering
LN2023,Fm131,3,198,dtf,Days to flowering
LN2023,Fm132,1,129,dtf,Days to flowering
LN2023,Fm132,2,138,dtf,Days to flowering
LN2023,Fm132,3,126,dtf,Days to flowering
LN2023,Fm134,1,103,dtf,Days to flowering
LN2023,Fm134,2,103,dtf,Days to flowering
LN2023,Fm134,3,104,dtf,Days to flowering
LN2023,Fm135,1,182,dtf,Days to flowering
LN2023,Fm135,2,162,dtf,Days to flowering
LN2023,Fm135,3,162,dtf,Days to flowering
LN2023,Fm136,1,159,dtf,Days to flowering
LN2023,Fm136,2,153,dtf,Days to flowering
LN2023,Fm136,3,153,dtf,Days to flowering
LN2023,Fm138,1,151,dtf,Days to flowering
LN2023,Fm138,2,159,dtf,Days to flowering
LN2023,Fm138,3,153,dtf,Days to flowering
LN2023,Fm139,1,151,dtf,Days to flowering
LN2023,Fm139,2,143,dtf,Days to flowering
LN2023,Fm139,3,150,dtf,Days to flowering
LN2023,Fm141,1,153,dtf,Days to flowering
LN2023,Fm141,2,141,dtf,Days to flowering
LN2023,Fm141,3,153,dtf,Days to flowering
LN2023,Fm145,1,134,dtf,Days to flowering
LN2023,Fm145,2,137,dtf,Days to flowering
LN2023,Fm145,3,139,dtf,Days to flowering
LN2023,Fm146,1,143,dtf,Days to flowering
LN2023,Fm146,2,116,dtf,Days to flowering
LN2023,Fm146,3,153,dtf,Days to flowering
LN2023,Fm150,1,159,dtf,Days to flowering
LN2023,Fm150,2,163,dtf,Days to flowering
LN2023,Fm150,3,159,dtf,Days to flowering
LN2023,Fm170,1,153,dtf,Days to flowering
LN2023,Fm170,2,138,dtf,Days to flowering
LN2023,Fm170,3,141,dtf,Days to flowering
LN2023,Fm172,1,151,dtf,Days to flowering
LN2023,Fm172,2,153,dtf,Days to flowering
LN2023,Fm172,3,154,dtf,Days to flowering
LN2023,Fm173,1,136,dtf,Days to flowering
LN2023,Fm173,2,139,dtf,Days to flowering
LN2023,Fm173,3,139,dtf,Days to flowering
LN2023,Fm174,1,139,dtf,Days to flowering
LN2023,Fm174,2,135,dtf,Days to flowering
LN2023,Fm174,3,139,dtf,Days to flowering
LN2023,Fm175,1,140,dtf,Days to flowering
LN2023,Fm175,2,152,dtf,Days to flowering
LN2023,Fm175,3,139,dtf,Days to flowering
LN2023,Fm176,1,139,dtf,Days to flowering
LN2023,Fm176,2,140,dtf,Days to flowering
LN2023,Fm176,3,128,dtf,Days to flowering
LN2023,Fm177,1,141,dtf,Days to flowering
LN2023,Fm177,2,154,dtf,Days to flowering
LN2023,Fm177,3,154,dtf,Days to flowering
LN2023,Fm180,1,135,dtf,Days to flowering
LN2023,Fm180,2,140,dtf,Days to flowering
LN2023,Fm180,3,143,dtf,Days to flowering
LN2023,Fm181,1,79,dtf,Days to flowering
LN2023,Fm181,2,79,dtf,Days to flowering
LN2023,Fm181,3,80,dtf,Days to flowering
LN2023,Fm184,1,159,dtf,Days to flowering
LN2023,Fm184,2,159,dtf,Days to flowering
LN2023,Fm184,3,159,dtf,Days to flowering
LN2023,Fm185,1,128,dtf,Days to flowering
LN2023,Fm185,2,137,dtf,Days to flowering
LN2023,Fm185,3,138,dtf,Days to flowering
LN2023,Fm190,1,102,dtf,Days to flowering
LN2023,Fm190,2,105,dtf,Days to flowering
LN2023,Fm190,3,100,dtf,Days to flowering
LN2023,Fm191,1,108,dtf,Days to flowering
LN2023,Fm191,2,103,dtf,Days to flowering
LN2023,Fm191,3,108,dtf,Days to flowering
LN2023,Fm193,1,100,dtf,Days to flowering
LN2023,Fm193,2,100,dtf,Days to flowering
LN2023,Fm193,3,98,dtf,Days to flowering
LN2023,Fm194,1,118,dtf,Days to flowering
LN2023,Fm194,2,118,dtf,Days to flowering
LN2023,Fm194,3,114,dtf,Days to flowering
LN2023,Fm195,1,104,dtf,Days to flowering
LN2023,Fm195,2,105,dtf,Days to flowering
LN2023,Fm195,3,102,dtf,Days to flowering
LN2023,Fm203,1,87,dtf,Days to flowering
LN2023,Fm203,2,83,dtf,Days to flowering
LN2023,Fm203,3,85,dtf,Days to flowering
LN2023,Fm205,1,129,dtf,Days to flowering
LN2023,Fm205,2,138,dtf,Days to flowering
LN2023,Fm205,3,120,dtf,Days to flowering
LN2023,Fm206,1,140,dtf,Days to flowering
LN2023,Fm206,2,140,dtf,Days to flowering
LN2023,Fm206,3,139,dtf,Days to flowering
LN2023,Fm207,1,135,dtf,Days to flowering
LN2023,Fm207,2,141,dtf,Days to flowering
LN2023,Fm207,3,139,dtf,Days to flowering
LN2023,Fm208,1,149,dtf,Days to flowering
LN2023,Fm208,2,140,dtf,Days to flowering
LN2023,Fm208,3,139,dtf,Days to flowering
LN2023,Fm214,1,88,dtf,Days to flowering
LN2023,Fm214,2,91,dtf,Days to flowering
LN2023,Fm214,3,90,dtf,Days to flowering
LN2023,Fm215,1,79,dtf,Days to flowering
LN2023,Fm215,2,79,dtf,Days to flowering
LN2023,Fm215,3,79,dtf,Days to flowering
LN2023,Fm216,1,106,dtf,Days to flowering
LN2023,Fm216,2,107,dtf,Days to flowering
LN2023,Fm216,3,108,dtf,Days to flowering
LN2023,Fm219,1,87,dtf,Days to flowering
LN2023,Fm219,2,87,dtf,Days to flowering
LN2023,Fm219,3,87,dtf,Days to flowering
LN2023,Fm220,1,129,dtf,Days to flowering
LN2023,Fm220,2,130,dtf,Days to flowering
LN2023,Fm220,3,130,dtf,Days to flowering
LN2023,Fm221,1,97,dtf,Days to flowering
LN2023,Fm221,2,96,dtf,Days to flowering
LN2023,Fm221,3,96,dtf,Days to flowering
LN2023,Fm225,1,79,dtf,Days to flowering
LN2023,Fm225,2,79,dtf,Days to flowering
LN2023,Fm225,3,82,dtf,Days to flowering
LN2023,Fm227,1,105,dtf,Days to flowering
LN2023,Fm227,2,105,dtf,Days to flowering
LN2023,Fm227,3,107,dtf,Days to flowering
LN2023,Fm228,1,99,dtf,Days to flowering
LN2023,Fm228,2,98,dtf,Days to flowering
LN2023,Fm228,3,98,dtf,Days to flowering
LN2023,Fm232,1,113,dtf,Days to flowering
LN2023,Fm232,2,114,dtf,Days to flowering
LN2023,Fm232,3,114,dtf,Days to flowering
LN2023,Fm233,1,117,dtf,Days to flowering
LN2023,Fm233,2,116,dtf,Days to flowering
LN2023,Fm233,3,116,dtf,Days to flowering
LN2023,Fm234,1,140,dtf,Days to flowering
LN2023,Fm234,2,140,dtf,Days to flowering
LN2023,Fm234,3,140,dtf,Days to flowering
LN2023,Fm235,1,140,dtf,Days to flowering
LN2023,Fm235,2,110,dtf,Days to flowering
LN2023,Fm235,3,140,dtf,Days to flowering
