gene_id,gene_symbol,product,scaffold,gene_start,gene_end,association_count,unique_lead_snps,datasets,traits,models,minimum_p,maf05_associations,lead_snps_inside_gene,minimum_distance_to_lead_bp,evidence_score
LOC101769304,LOC101769304,"beta-glucosidase-like SFR2, chloroplastic, transcript variant X4",SCAFFOLD_8,39041515,39051919,3,3,2024_N120;2024_N40,dtf;number_of_tillers,FarmCPU;MLM,5.67829021135139e-15,1,2,0,9
LOC101762430,LOC101762430,thymocyte nuclear protein 1,SCAFFOLD_9,9018759,9022620,3,2,2024_N120;2024_N40,height_cm,FarmCPU,8.97393982836684e-22,3,2,0,8
LOC101768894,LOC101768894,uncharacterized LOC101768894,SCAFFOLD_8,39045065,39045909,3,3,2024_N120;2024_N40,dtf;number_of_tillers,FarmCPU;MLM,5.67829021135139e-15,1,0,1687,7
LOC101776455,LOC101776455,pectinesterase QRT1,SCAFFOLD_8,39052939,39054816,3,3,2024_N120;2024_N40,dtf;number_of_tillers,FarmCPU;MLM,5.67829021135139e-15,1,0,2790,7
LOC101771445,LOC101771445,transcription factor JAMYB,SCAFFOLD_8,39057714,39060834,3,3,2024_N120;2024_N40,dtf;number_of_tillers,FarmCPU;MLM,5.67829021135139e-15,1,0,7565,7
LOC101754827,LOC101754827,leucine-rich repeat receptor protein kinase MSL1,SCAFFOLD_8,3836836,3838919,5,2,2024_N120;2024_N40,dtf,BLINK;FarmCPU,1.02319891921624e-20,5,0,17845,7
LOC101771844,LOC101771844,uncharacterized LOC101771844,SCAFFOLD_8,3683168,3686630,4,1,2024_N120;2024_N40,dtf,BLINK;FarmCPU,1.02319891921624e-20,4,0,132361,7
LOC101753351,LOC101753351,"uncharacterized LOC101753351, transcript variant X3",SCAFFOLD_8,3728383,3732767,4,1,2024_N120;2024_N40,dtf,BLINK;FarmCPU,1.02319891921624e-20,4,0,86224,7
LOC101775105,LOC101775105,adenine phosphoribosyltransferase 1,SCAFFOLD_3,47451270,47453805,10,10,2023,panicle_length_cm,BLINK,3.90473028399145e-15,10,1,0,6
LOC101773056,LOC101773056,ethylene-responsive transcription factor ERF094,SCAFFOLD_8,39102123,39103147,3,3,2024_N120;2024_N40,dtf,FarmCPU,5.67829021135139e-15,3,0,2799,6
LOC101783550,LOC101783550,importin beta-like SAD2,SCAFFOLD_1,22442740,22459115,7,2,2024_N120;2024_N40,days_to_harvest;dtf,BLINK;FarmCPU,2.83546784505742e-29,0,0,44660,6
LOC101756237,LOC101756237,probable galacturonosyltransferase-like 1,SCAFFOLD_9,8955831,8957082,3,2,2024_N120;2024_N40,height_cm,FarmCPU,8.97393982836684e-22,3,0,57629,6
LOC101761597,LOC101761597,E3 ubiquitin-protein ligase RNF185,SCAFFOLD_9,8963801,8965937,3,2,2024_N120;2024_N40,height_cm,FarmCPU,8.97393982836684e-22,3,0,48774,6
LOC101756635,LOC101756635,1-aminocyclopropane-1-carboxylate oxidase homolog 4,SCAFFOLD_9,8986700,8988195,3,2,2024_N120;2024_N40,height_cm,FarmCPU,8.97393982836684e-22,3,0,26516,6
LOC101757050,LOC101757050,protein ALP1-like,SCAFFOLD_9,8992565,8993546,3,2,2024_N120;2024_N40,height_cm,FarmCPU,8.97393982836684e-22,3,0,21165,6
LOC101757445,LOC101757445,uncharacterized LOC101757445,SCAFFOLD_9,8994348,8995388,3,2,2024_N120;2024_N40,height_cm,FarmCPU,8.97393982836684e-22,3,0,19323,6
LOC101757844,LOC101757844,uncharacterized LOC101757844,SCAFFOLD_9,9013217,9014140,3,2,2024_N120;2024_N40,height_cm,FarmCPU,8.97393982836684e-22,3,0,571,6
LOC101762011,LOC101762011,translation initiation factor IF-2,SCAFFOLD_9,9014875,9016030,3,2,2024_N120;2024_N40,height_cm,FarmCPU,8.97393982836684e-22,3,0,164,6
LOC101758259,LOC101758259,ocs element-binding factor 1,SCAFFOLD_9,9034696,9035166,3,2,2024_N120;2024_N40,height_cm,FarmCPU,8.97393982836684e-22,3,0,12779,6
LOC101763093,LOC101763093,uncharacterized LOC101763093,SCAFFOLD_9,9041530,9043312,3,2,2024_N120;2024_N40,height_cm,FarmCPU,8.97393982836684e-22,3,0,19613,6
LOC101763498,LOC101763498,translation initiation factor IF-2,SCAFFOLD_9,9052586,9053606,3,2,2024_N120;2024_N40,height_cm,FarmCPU,8.97393982836684e-22,3,0,30669,6
LOC101758664,LOC101758664,exopolygalacturonase,SCAFFOLD_9,9059256,9060602,3,2,2024_N120;2024_N40,height_cm,FarmCPU,8.97393982836684e-22,3,0,37339,6
LOC101763902,LOC101763902,growth-regulating factor 9,SCAFFOLD_9,9068812,9071655,3,2,2024_N120;2024_N40,height_cm,FarmCPU,8.97393982836684e-22,3,0,46895,6
LOC101764310,LOC101764310,DUF21 domain-containing protein At2g14520,SCAFFOLD_9,9079692,9085394,3,2,2024_N120;2024_N40,height_cm,FarmCPU,8.97393982836684e-22,3,0,57775,6
LOC101764716,LOC101764716,"CSC1-like protein RXW8, transcript variant X2",SCAFFOLD_9,9090189,9097654,3,2,2024_N120;2024_N40,height_cm,FarmCPU,8.97393982836684e-22,3,0,68272,6
LOC101763710,LOC101763710,"",SCAFFOLD_6,11122531,11126455,1,1,2024_N120,dtf,FarmCPU,2.61351786009307e-15,1,1,0,6
