t2t_gene_id,symbol,description,lift_t2t_chr,t2t_gene_start,t2t_gene_end,association_count,unique_lead_snps,datasets,traits,models,minimum_p,maf05_associations,lead_snps_inside_gene,minimum_distance_to_lead_bp,evidence_score
Seita.8G237500,SFR2,"XP_004979991.1 beta-glucosidase-like SFR2, chloroplastic [Setaria italica]",Chr8,42187865,42192875,3,3,2024_N120;2024_N40,dtf;number_of_tillers,FarmCPU;MLM,5.67829021135139e-15,1,1,0,9
Seita.9G141000,--,XP_004986316.2 uncharacterized protein LOC101757844 [Setaria italica],Chr9,8986030,8987411,3,2,2024_N120;2024_N40,height_cm,FarmCPU,8.97393982836684e-22,3,1,0,8
Seita.9G141300,--,RCV41508.1 hypothetical protein SETIT_9G141300v2 [Setaria italica],Chr9,8992751,8995446,3,2,2024_N120;2024_N40,height_cm,FarmCPU,8.97393982836684e-22,3,2,0,8
Seita.7G358600,--,TKW03914.1 hypothetical protein SEVIR_7G074600v2 [Setaria viridis],Chr7,18236152,18237745,4,3,2023,dtf,BLINK;FarmCPU,2.65867197566936e-23,3,2,0,7
Seita.8G341100,--,KAF8715069.1 hypothetical protein HU200_027616 [Digitaria exilis],Chr8,42157703,42158934,3,3,2024_N120;2024_N40,dtf;number_of_tillers,FarmCPU;MLM,5.67829021135139e-15,1,0,25421,7
Seita.8G341200,--,PVH34625.1 hypothetical protein PAHAL_8G261400 [Panicum hallii],Chr8,42159481,42160050,3,3,2024_N120;2024_N40,dtf;number_of_tillers,FarmCPU;MLM,5.67829021135139e-15,1,0,24305,7
Seita.8G341300,--,-,Chr8,42162101,42162784,3,3,2024_N120;2024_N40,dtf;number_of_tillers,FarmCPU;MLM,5.67829021135139e-15,1,0,21571,7
Seita.8G341400,--,KAG2564163.1 hypothetical protein PVAP13_8KG388705 [Panicum virgatum],Chr8,42171522,42172141,3,3,2024_N120;2024_N40,dtf;number_of_tillers,FarmCPU;MLM,5.67829021135139e-15,1,0,12214,7
Seita.8G341500,--,TKW02528.1 hypothetical protein SEVIR_8G247800v2 [Setaria viridis],Chr8,42175018,42178124,3,3,2024_N120;2024_N40,dtf;number_of_tillers,FarmCPU;MLM,5.67829021135139e-15,1,0,6231,7
Seita.8G237300,--,RCV39603.1 hypothetical protein SETIT_8G237300v2 [Setaria italica],Chr8,42180099,42181843,3,3,2024_N120;2024_N40,dtf;number_of_tillers,FarmCPU;MLM,5.67829021135139e-15,1,0,2512,7
Seita.8G237400,--,XP_022684955.1 uncharacterized protein LOC101768894 [Setaria italica],Chr8,42186121,42186627,3,3,2024_N120;2024_N40,dtf;number_of_tillers,FarmCPU;MLM,5.67829021135139e-15,1,0,1766,7
Seita.8G237600,PME53,XP_004980888.2 pectinesterase QRT1 [Setaria italica],Chr8,42193865,42195868,3,3,2024_N120;2024_N40,dtf;number_of_tillers,FarmCPU;MLM,5.67829021135139e-15,1,0,2739,7
Seita.8G237700,JAMYB,XP_004979993.1 transcription factor JAMYB [Setaria italica],Chr8,42198691,42201899,3,3,2024_N120;2024_N40,dtf;number_of_tillers,FarmCPU;MLM,5.67829021135139e-15,1,0,7565,7
Seita.8G258400,--,TKV99479.1 hypothetical protein SEVIR_8G047400v2 [Setaria viridis],Chr8,4472827,4473198,5,2,2024_N120;2024_N40,dtf,BLINK;FarmCPU,1.02319891921624e-20,5,0,12710,7
Seita.8G046800,MSL1,XP_004978781.1 leucine-rich repeat receptor protein kinase MSL1 [Setaria italica],Chr8,4478071,4482090,5,2,2024_N120;2024_N40,dtf,BLINK;FarmCPU,1.02319891921624e-20,5,0,17954,7
Seita.8G046900,--,RCV37235.1 hypothetical protein SETIT_8G046900v2 [Setaria italica],Chr8,4509465,4510457,5,2,2024_N120;2024_N40,dtf,BLINK;FarmCPU,1.02319891921624e-20,5,0,49348,7
Seita.8G047000,--,RCV37236.1 hypothetical protein SETIT_8G047000v2 [Setaria italica],Chr8,4510680,4511738,5,2,2024_N120;2024_N40,dtf,BLINK;FarmCPU,1.02319891921624e-20,5,0,50563,7
Seita.8G047100,--,RCV37237.1 hypothetical protein SETIT_8G047100v2 [Setaria italica],Chr8,4512526,4513032,5,2,2024_N120;2024_N40,dtf,BLINK;FarmCPU,1.02319891921624e-20,5,0,52409,7
Seita.8G046200,ANNAT8,RCV37225.1 hypothetical protein SETIT_8G046200v2 [Setaria italica],Chr8,4321765,4324386,4,1,2024_N120;2024_N40,dtf,BLINK;FarmCPU,1.02319891921624e-20,4,0,135731,7
Seita.8G046300,ERF110,XP_004980201.3 uncharacterized protein LOC101771844 [Setaria italica],Chr8,4326194,4329558,4,1,2024_N120;2024_N40,dtf,BLINK;FarmCPU,1.02319891921624e-20,4,0,130559,7
Seita.8G046400,--,RCV37227.1 hypothetical protein SETIT_8G046400v2 [Setaria italica],Chr8,4358491,4359535,4,1,2024_N120;2024_N40,dtf,BLINK;FarmCPU,1.02319891921624e-20,4,0,100582,7
Seita.8G046500,--,RCV37228.1 hypothetical protein SETIT_8G046500v2 [Setaria italica],Chr8,4361260,4361837,4,1,2024_N120;2024_N40,dtf,BLINK;FarmCPU,1.02319891921624e-20,4,0,98280,7
Seita.8G046600,--,XP_004978778.1 uncharacterized protein LOC101753351 [Setaria italica],Chr8,4371143,4375881,4,1,2024_N120;2024_N40,dtf,BLINK;FarmCPU,1.02319891921624e-20,4,0,84236,7
Seita.8G046700,--,RCV37233.1 hypothetical protein SETIT_8G046700v2 [Setaria italica],Chr8,4404059,4404738,4,1,2024_N120;2024_N40,dtf,BLINK;FarmCPU,1.02319891921624e-20,4,0,55379,7
Seita.8G258300,--,TKW14645.1 hypothetical protein SEVIR_5G179700v2 [Setaria viridis],Chr8,4443031,4443958,4,1,2024_N120;2024_N40,dtf,BLINK;FarmCPU,1.02319891921624e-20,4,0,16159,7
Seita.3G370200,ACA10,"XP_004963028.1 calcium-transporting ATPase 10, plasma membrane-type [Setaria italica]",Chr3,49511100,49517013,10,10,2023,panicle_length_cm,BLINK,3.90473028399145e-15,10,1,0,6
Seita.3G515000,--,-,Chr3,49520031,49520429,10,10,2023,panicle_length_cm,BLINK,3.90473028399145e-15,10,1,0,6
Seita.3G370300,CYCD5-2,XP_004963029.1 cyclin-D5-2 [Setaria italica],Chr3,49523990,49527011,10,10,2023,panicle_length_cm,BLINK,3.90473028399145e-15,10,1,0,6
Seita.3G370500,RSL2,XP_034588484.1 transcription factor bHLH139-like [Setaria viridis],Chr3,49535629,49538459,10,10,2023,panicle_length_cm,BLINK,3.90473028399145e-15,10,2,0,6
Seita.3G515100,GIP,XP_025814486.1 uncharacterized protein LOC112891757 [Panicum hallii],Chr3,49542504,49543379,10,10,2023,panicle_length_cm,BLINK,3.90473028399145e-15,10,1,0,6
Seita.3G370600,APT1,XP_004963031.1 adenine phosphoribosyltransferase 1 [Setaria italica],Chr3,49547758,49550388,10,10,2023,panicle_length_cm,BLINK,3.90473028399145e-15,10,1,0,6
Seita.8G237900,ERF094,XP_004979997.1 ethylene-responsive transcription factor ERF094 [Setaria italica],Chr8,42243098,42244234,3,3,2024_N120;2024_N40,dtf,FarmCPU,5.67829021135139e-15,3,0,2697,6
Seita.1G159800,SAD2,XP_004952490.1 importin beta-like SAD2 [Setaria italica],Chr1,24913489,24929899,7,2,2024_N120;2024_N40,days_to_harvest;dtf,BLINK;FarmCPU,2.83546784505742e-29,0,0,44642,6
Seita.9G140200,GATL1,XP_012698016.1 probable galacturonosyltransferase-like 1 [Setaria italica],Chr9,8928384,8929785,3,2,2024_N120;2024_N40,height_cm,FarmCPU,8.97393982836684e-22,3,0,57612,6
Seita.9G140300,rnf-5,XP_004982184.1 E3 ubiquitin-protein ligase RNF185 [Setaria italica],Chr9,8936155,8938704,3,2,2024_N120;2024_N40,height_cm,FarmCPU,8.97393982836684e-22,3,0,48693,6
Seita.9G140400,--,RCV41496.1 hypothetical protein SETIT_9G140400v2 [Setaria italica],Chr9,8938951,8949449,3,2,2024_N120;2024_N40,height_cm,FarmCPU,8.97393982836684e-22,3,0,37948,6
Seita.9G588800,--,TKV92066.1 hypothetical protein SEVIR_9G138875v2 [Setaria viridis],Chr9,8948441,8950339,3,2,2024_N120;2024_N40,height_cm,FarmCPU,8.97393982836684e-22,3,0,37058,6
Seita.9G140500,--,RCV41497.1 hypothetical protein SETIT_9G140500v2 [Setaria italica],Chr9,8954514,8959073,3,2,2024_N120;2024_N40,height_cm,FarmCPU,8.97393982836684e-22,3,0,28324,6
Seita.9G140600,At1g03400,RCV41498.1 hypothetical protein SETIT_9G140600v2 [Setaria italica],Chr9,8959386,8961852,3,2,2024_N120;2024_N40,height_cm,FarmCPU,8.97393982836684e-22,3,0,25545,6
Seita.9G140700,--,RCV41500.1 hypothetical protein SETIT_9G140700v2 [Setaria italica],Chr9,8971622,8971999,3,2,2024_N120;2024_N40,height_cm,FarmCPU,8.97393982836684e-22,3,0,15398,6
Seita.9G588900,--,RLN22088.1 hypothetical protein C2845_PM07G40210 [Panicum miliaceum],Chr9,8978777,8979274,3,2,2024_N120;2024_N40,height_cm,FarmCPU,8.97393982836684e-22,3,0,8123,6
Seita.9G140800,--,RCV41501.1 hypothetical protein SETIT_9G140800v2 [Setaria italica],Chr9,8980829,8981632,3,2,2024_N120;2024_N40,height_cm,FarmCPU,8.97393982836684e-22,3,0,5765,6
